"i" "era" "col" "X" "Y" "mutType"
1 "early" "blue" 0 0.0176344403604176 "PI"
1 "early" "green" 0 0.0685978605248394 "3TC/FTC"
1 "early" "orange" 0 0.0181069769343765 "NRTI"
1 "early" "red" 0 0.0181069769343765 "NNRTI"
1 "late" "blue" 0 0.119860470046227 "PI"
1 "late" "green" 0 0.17035135363669 "3TC/FTC"
1 "late" "orange" 0 0.119860470046227 "NRTI"
1 "late" "red" 0 0.018878702865301 "NNRTI"
2 "early" "blue" 0.25 0.165417905073745 "PI"
2 "early" "green" 0.25 1.38307578038999 "3TC/FTC"
2 "early" "orange" 0.25 0.272276341399817 "NRTI"
2 "early" "red" 0.25 1.48405754757093 "NNRTI"
2 "late" "blue" 0.25 0.474954436808815 "PI"
2 "late" "green" 0.25 1.33329945784668 "3TC/FTC"
2 "late" "orange" 0.25 0.878824340648748 "NRTI"
2 "late" "red" 0.25 2.44409889683686 "NNRTI"
3 "early" "blue" 0.5 0.430045333605392 "PI"
3 "early" "green" 0.5 4.76762276258035 "3TC/FTC"
3 "early" "orange" 0.5 0.728294910459553 "NRTI"
3 "early" "red" 0.5 3.40431174075409 "NNRTI"
3 "late" "blue" 0.5 1.08261715129127 "PI"
3 "late" "green" 0.5 3.65759504952109 "3TC/FTC"
3 "late" "orange" 0.5 1.89047128873867 "NRTI"
3 "late" "red" 0.5 4.66741272133035 "NNRTI"
4 "early" "blue" 0.75 1.51284516110508 "PI"
4 "early" "green" 0.75 8.10167886118025 "3TC/FTC"
4 "early" "orange" 0.75 1.53786399442008 "NRTI"
4 "early" "red" 0.75 4.87026231139063 "NNRTI"
4 "late" "blue" 0.75 1.18525670010153 "PI"
4 "late" "green" 0.75 5.17397933886433 "3TC/FTC"
4 "late" "orange" 0.75 2.90194674217727 "NRTI"
4 "late" "red" 0.75 5.93139975760504 "NNRTI"
5 "early" "blue" 1 2.50805336765344 "PI"
5 "early" "green" 1 10.3249926856737 "3TC/FTC"
5 "early" "orange" 1 2.44841484556154 "NRTI"
5 "early" "red" 1 6.74013995075087 "NNRTI"
5 "late" "blue" 1 1.48980261838989 "PI"
5 "late" "green" 1 7.09429069693126 "3TC/FTC"
5 "late" "orange" 1 3.45894707841794 "NRTI"
5 "late" "red" 1 7.0437998133408 "NNRTI"
6 "early" "blue" 1.25 2.94799636420753 "PI"
6 "early" "green" 1.25 12.497758461693 "3TC/FTC"
6 "early" "orange" 1.25 3.30841764822875 "NRTI"
6 "early" "red" 1.25 8.55946954163689 "NNRTI"
6 "late" "blue" 1.25 1.74402914773911 "PI"
6 "late" "green" 1.25 7.90385978089179 "3TC/FTC"
6 "late" "orange" 1.25 4.06655262801662 "NRTI"
6 "late" "red" 1.25 7.90385978089179 "NNRTI"
7 "early" "blue" 1.5 3.44634480190582 "PI"
7 "early" "green" 1.5 14.0646336346267 "3TC/FTC"
7 "early" "orange" 1.5 4.21891133448644 "NRTI"
7 "early" "red" 1.5 9.77290852943735 "NNRTI"
7 "late" "blue" 1.5 2.09912311450169 "PI"
7 "late" "green" 1.5 8.76391974844278 "3TC/FTC"
7 "late" "orange" 1.5 4.67410101273152 "NRTI"
7 "late" "red" 1.5 8.66293798126186 "NNRTI"
8 "early" "blue" 1.75 3.94482556572394 "PI"
8 "early" "green" 1.75 15.7326049045088 "3TC/FTC"
8 "early" "orange" 1.75 5.02848041844696 "NRTI"
8 "early" "red" 1.75 10.6329684969883 "NNRTI"
8 "late" "blue" 1.75 2.35323531408335 "PI"
8 "late" "green" 1.75 9.72490431829092 "3TC/FTC"
8 "late" "orange" 1.75 5.07974302796834 "NRTI"
8 "late" "red" 1.75 9.47239273545484 "NNRTI"
9 "early" "blue" 2 4.79383822099706 "PI"
9 "early" "green" 2 16.5420596587018 "3TC/FTC"
9 "early" "orange" 2 6.4944309890835 "NRTI"
