"Reg" "n" "drugtype" "count" "regCats" "c" "Ap" "Bp" "Cp"
"3TC-ABC-EFV (n=16)" 16 "M184VI" 2 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "M184VI" 2 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-EFV (n=16)" 16 "NNRTI" 14 "M184VI-NNRTI-NRTI" 0.0625 "3TC" "ABC" "EFV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "M184VI" 10 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-ABC-LPV (n=11)" 11 "NRTI" 1 "M184VI-NRTI-PI" 0.0909090909090909 "3TC" "ABC" "LPV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "M184VI" 25 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
